STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
Punjab,Mukatsar,PMGSY-II,10,0,10,0,0,0,114.86,75.1052,111.28,61.9397,0
Punjab,Mukatsar,PMGSY-III,17,1,14,0,3,1,207.36,174.54428,152.99,118.6755,54.37
Punjab,Pathankot,PMGSY-III,6,1,2,0,4,1,51.55,58.01704,21.15,24.185,30.4
Punjab,Sangrur,PMGSY-I,52,0,52,0,0,0,499.49,217.7255,498.75,200.7852,0
Rajasthan,Ajmer,PMGSY-I,146,0,146,0,0,0,564.195,98.3854,529.89,82.4478,0
Rajasthan,Ajmer,PMGSY-III,8,0,8,0,0,0,104.15,63.078,104.15,48.4921,0
Rajasthan,Anoopgarh,PMGSY-II,4,0,4,0,0,0,36.75,13.5402,36.75,10.4664,0
Rajasthan,Balotra,PMGSY-II,5,2,5,2,0,0,51.24,20.95518,52.74,15.1681,0
Rajasthan,Banswara,PMGSY-III,23,2,23,2,0,0,172.34,113.42684,167.93,72.6577,0
Rajasthan,Baran,PMGSY-I,311,12,311,12,0,0,1243.166,301.2303,1171.87,302.0229,0
Rajasthan,Churu,PMGSY-I,295,0,295,0,0,0,1715.86,275.6133,1589.755,260.5425,0
Rajasthan,Churu,PMGSY-II,6,0,6,0,0,0,78.425,24.593,78.425,18.37,0
Rajasthan,Deeg,PMGSY-III,13,0,13,0,0,0,100.57,74.12449,99.87,64.6454,0
Rajasthan,Dholpur,PMGSY-II,5,0,5,0,0,0,42.8,17.2821,42.8,15.923,0
Rajasthan,Dudu,PMGSY-II,2,0,2,0,0,0,13.3,4.8628,13.3,3.4694,0
Rajasthan,Dudu,PMGSY-III,6,0,6,0,0,0,64.8,38.1352,63.614,27.5663,0
Rajasthan,"Jaipur Gramin",PMGSY-II,16,0,16,0,0,0,140.117,65.8536,140.122,49.8935,0
Rajasthan,Jaisalmer,PMGSY-I,277,0,277,0,0,0,2005.68,267.1791,1959.13,233.0147,0
Rajasthan,"Jodhpur Gramin",PMGSY-II,9,1,9,1,0,0,94.7,46.4647,94.7,33.7623,0
Rajasthan,Karauli,PMGSY-III,9,0,9,0,0,0,80.08,48.2326,77.04,37.9687,0
Rajasthan,Kekri,PMGSY-I,73,0,73,0,0,0,282.66,38.5432,273.97,34.6284,0
Rajasthan,"Khairthal Tijara",PMGSY-III,7,0,5,0,2,0,54.842,33.28302,52.774,27.5373,0.7
Rajasthan,Kota,PMGSY-I,162,0,162,0,0,0,718.34,168.1016,685.71,170.7161,0
Rajasthan,Kota,PMGSY-II,10,0,10,0,0,0,71.1,32.3964,70.6,29.3786,0
Rajasthan,"Kotputli Behror",PMGSY-I,235,0,235,0,0,0,664.85,153.6479,646.386,135.4385,0
Rajasthan,Pali,PMGSY-I,249,0,249,0,0,0,1100.43,204.174,1042.736,179.7651,0
Rajasthan,Pali,PMGSY-II,11,1,11,1,0,0,118.5,63.8277,118.5,50.2365,0
Rajasthan,Rajsamand,PMGSY-II,11,0,11,0,0,0,98,47.70859,98,33.7092,0
Rajasthan,Salumbar,PMGSY-II,4,0,4,0,0,0,44,21.9598,44,13.1185,0
Rajasthan,Shahpura,PMGSY-III,11,0,11,0,0,0,96.824,56.996,96.599,47.7457,0
Rajasthan,Sikar,PMGSY-II,7,0,7,0,0,0,83.19,42.9649,83.19,34.6832,0
Rajasthan,"Sri Ganganagar",PMGSY-I,87,1,87,1,0,0,558.7,126.8969,539.2,107.3187,0
Rajasthan,"Sri Ganganagar",PMGSY-II,8,0,8,0,0,0,75.5,26.0761,75.5,18.8808,0
Sikkim,Pakyong,PMGSY-III,5,3,0,0,5,3,24.41,28.89882,0,0.8868,24.41
Sikkim,"West Sikkim",PMGSY-II,9,0,8,0,1,0,27.18,23.2758,26.48,19.6058,0.7
"Tamil Nadu",Ariyalur,PMGSY-I,171,0,171,0,0,0,368.847,102.83873,368.806,94.2441,0
"Tamil Nadu",Ariyalur,PMGSY-III,12,0,10,0,2,0,47.521,20.2326,39.923,15.5023,7.6
"Tamil Nadu",Chengalpattu,PMGSY-II,24,3,24,3,0,0,87.248,39.3014,86.448,37.372,0
"Tamil Nadu",Coimbatore,PMGSY-II,56,2,56,2,0,0,183.305,79.52724,183.03,80.3042,0
"Tamil Nadu",Dindigul,PMGSY-II,34,0,34,0,0,0,120.746,56.06482,120.748,55.4039,0
"Tamil Nadu",Erode,PMGSY-I,230,1,230,1,0,0,513.66,134.35828,506.001,126.0865,0
"Tamil Nadu",Kanniyakumari,PMGSY-I,106,0,106,0,0,0,140.055,29.9809,135.943,18.8029,0
"Tamil Nadu",Krishnagiri,PMGSY-II,40,2,40,2,0,0,118.23,56.26929,118.23,59.1974,0
"Tamil Nadu",Madurai,PMGSY-I,280,0,280,0,0,0,511.653,124.11849,512.083,36.0835,0
"Tamil Nadu",Mayiladuthurai,PMGSY-I,255,6,255,6,0,0,471.007,243.27293,468.107,230.6614,0
"Tamil Nadu",Perambalur,PMGSY-II,12,0,12,0,0,0,43.84,15.9089,43.84,15.3482,0
"Tamil Nadu",Pudukkottai,PMGSY-II,17,0,17,0,0,0,92.88,37.80413,92.967,39.9942,0
"Tamil Nadu",Ranipet,PMGSY-I,92,2,92,2,0,0,213.068,55.05758,202.832,174.1827,0
"Tamil Nadu",Sivagangai,PMGSY-I,209,0,209,0,0,0,433.688,107.15013,431.905,273.4849,0
"Tamil Nadu",Tenkasi,PMGSY-I,45,0,45,0,0,0,85.593,17.32462,85.593,12.8216,0
"Tamil Nadu",Thanjavur,PMGSY-II,22,0,22,0,0,0,87.974,43.71158,87.974,45.8812,0
"Tamil Nadu",Thanjavur,PMGSY-III,29,1,19,1,10,0,109.826,65.78695,71.271,39.9495,38.555
"Tamil Nadu",Theni,PMGSY-I,69,2,69,2,0,0,143.55,47.33271,138.51,33.0193,0
"Tamil Nadu",Theni,PMGSY-III,6,1,5,0,1,1,19.2,14.12334,15.112,10.6923,3.85
"Tamil Nadu",Tiruchirappalli,PMGSY-III,83,1,52,1,31,0,323.195,177.88772,224.994,104.1351,98.216
"Tamil Nadu",Tirunelveli,PMGSY-I,211,0,211,0,0,0,446.564,87.18956,438.87,78.9586,0
"Tamil Nadu",Tirunelveli,PMGSY-II,18,0,18,0,0,0,74.681,25.50315,74.681,24.4464,0
"Tamil Nadu",Tiruvallur,PMGSY-III,32,0,23,0,9,0,96.01,55.45871,68.142,35.6533,23.945
"Tamil Nadu",Tiruvarur,PMGSY-I,294,28,294,28,0,0,615.127,367.29118,604.058,337.5778,0
Telangana,"Bhadradri Kothagudem",PMGSY-I,168,24,167,24,1,0,712.02,251.4457,675.957,135.5522,4.35
Telangana,"Bhadradri Kothagudem",PMGSY-II,3,1,3,1,0,0,33.52,31.4236,30.52,21.5232,0
Telangana,Jangoan,PMGSY-I,88,8,88,8,0,0,280.49,93.59945,277.926,15.4745,0
Telangana,Jangoan,PMGSY-III,13,0,9,0,4,0,137.128,98.54163,110.917,104.429,23.714
Telangana,Kamareddy,PMGSY-II,4,1,4,1,0,0,36.94,24.3256,36.94,24.8706,0
Telangana,Khammam,PMGSY-II,6,1,6,1,0,0,69.14,49.8709,66.773,35.9228,0
Telangana,Khammam,PMGSY-III,16,7,4,2,12,5,115.803,99.76101,99.703,69.3088,15.62
Telangana,Mahaboobnagar,PMGSY-II,3,0,3,0,0,0,21.7,13.1705,19.126,9.0315,0
Telangana,Mahabubabad,PMGSY-II,4,0,4,0,0,0,24.805,12.7995,24.35,11.496,0
Telangana,"Medchal Malkajgiri",PMGSY-II,2,1,2,1,0,0,15.59,14.3107,12.282,10.2042,0
Telangana,Nalgonda,PMGSY-II,14,0,14,0,0,0,88.6,38.6273,86.467,30.2596,0
Telangana,Narayanpet,PMGSY-II,3,0,3,0,0,0,30.29,18.952,29.853,14.4262,0
Telangana,Narayanpet,PMGSY-III,8,3,7,1,1,2,48.322,39.08121,38.626,24.6012,8.687
Telangana,Nirmal,PMGSY-II,1,0,1,0,0,0,9.4,2.42,4.71,2.3232,0
Telangana,Peddapalli,PMGSY-III,9,2,6,0,3,2,48.181,31.19386,41.383,30.0879,5.527
Telangana,"Rajanna Sircilla",PMGSY-I,49,4,49,4,0,0,151.225,28.7581,143.795,53.3743,0
Telangana,"Rajanna Sircilla",PMGSY-III,12,4,0,0,12,4,80.699,58.18098,31.167,25.879,49.532
Telangana,"Ranga Reddy",PMGSY-II,7,2,7,2,0,0,64.62,39.096,60.159,36.0022,0
Telangana,"Ranga Reddy",PMGSY-III,19,4,15,1,4,3,118.317,88.03751,106.37,81.3386,8.9
Telangana,Sangareddy,PMGSY-III,19,10,12,1,7,9,121.317,103.71032,87.582,64.4027,29.895
Telangana,Vikarabad,PMGSY-III,13,2,9,0,4,2,93.085,60.13381,74.413,47.4115,16.598
Tripura,Gomati,PMGSY-I,186,11,186,11,0,0,796.534,498.7943,765.916,482.1345,0
Tripura,Gomati,PMGSY-III,20,1,1,0,19,1,148.475,144.96541,10.103,6.0398,138.372
Tripura,Gomati,PM-JANMAN,25,0,0,0,25,0,44.103,44.6882,0,0,44.103
Tripura,Khowai,PMGSY-II,6,0,5,0,1,0,24.681,25.23502,23.961,25.8621,0.578
Tripura,"South Tripura",PMGSY-II,6,0,6,0,0,0,60.36,65.09914,59.166,70.5193,0
Tripura,Unakoti,PMGSY-II,3,0,3,0,0,0,17.488,16.9733,17.488,18.5313,0
Tripura,Unakoti,PMGSY-III,6,0,0,0,6,0,41.55,37.37701,0,0,41.55
"Uttar Pradesh",Aligarh,PMGSY-I,205,0,205,0,0,0,690.625,184.3754,682.44,175.3916,0
"Uttar Pradesh",Ambedkarnagar,PMGSY-III,27,0,27,0,0,0,181.33,132.15772,176.733,113.4394,0
"Uttar Pradesh",Amethi,PMGSY-III,43,0,40,0,3,0,301.508,247.0922,285.905,205.7814,13.172
"Uttar Pradesh",Azamgarh,PMGSY-I,370,0,370,0,0,0,1023.18,281.2348,1011.782,262.8165,0
"Uttar Pradesh",Baghpat,PMGSY-I,222,0,222,0,0,0,532.58,119.8807,529.97,117.4999,0
"Uttar Pradesh",Balrampur,PMGSY-II,16,0,16,0,0,0,109.975,74.6984,108.375,67.6892,0
"Uttar Pradesh",Banda,PMGSY-I,141,0,141,0,0,0,469.34,134.1771,455.706,142.0221,0
"Uttar Pradesh",Banda,PMGSY-II,12,0,12,0,0,0,97.62,56.1237,96.65,52.8161,0
"Uttar Pradesh",Bareilly,PMGSY-I,275,0,275,0,0,0,753.233,151.8216,742.463,157.9637,0
"Uttar Pradesh",Bijnor,PMGSY-II,9,0,9,0,0,0,97.67,44.97122,97.67,39.5673,0
"Uttar Pradesh",Bulandshahr,PMGSY-I,315,0,315,0,0,0,754.485,163.9748,744.607,157.2351,0
"Uttar Pradesh",Etah,PMGSY-I,274,0,274,0,0,0,718.952,166.1075,714.712,150.8243,0
"Uttar Pradesh",Etah,PMGSY-II,14,0,14,0,0,0,105.27,59.27319,105.27,48.2012,0
"Uttar Pradesh",Etah,PMGSY-III,35,0,35,0,0,0,251.245,164.66377,250.331,118.6884,0
"Uttar Pradesh",Farrukhabad,PMGSY-II,10,0,10,0,0,0,91.3,55.02389,90.594,49.8256,0
"Uttar Pradesh",Firozabad,PMGSY-II,15,0,15,0,0,0,108.25,77.283,103.32,61.2354,0
"Uttar Pradesh","G.B. Nagar",PMGSY-II,9,0,9,0,0,0,100.15,65.4942,94.903,50.3961,0
"Uttar Pradesh",Ghaziabad,PMGSY-III,10,0,10,0,0,0,71.19,41.1063,63.531,32.5451,0
"Uttar Pradesh",Ghazipur,PMGSY-I,252,0,252,0,0,0,717.532,206.8764,710.807,196.5916,0
"Uttar Pradesh",Gorakhpur,PMGSY-III,46,0,35,0,11,0,266.2,207.6344,215.084,123.4823,50.34
"Uttar Pradesh",Hamirpur,PMGSY-I,106,0,106,0,0,0,392.265,106.43,380.93,95.8403,0
"Uttar Pradesh",Hamirpur,PMGSY-III,19,0,18,0,1,0,157,110.9985,145.611,88.4668,9.85
"Uttar Pradesh",Hapur,PMGSY-I,131,0,131,0,0,0,424.57,100.07328,425.04,94.6871,0
"Uttar Pradesh",Hapur,PMGSY-II,10,0,10,0,0,0,89.1,44.40788,87.035,35.877,0
"Uttar Pradesh",Hapur,PMGSY-III,13,0,13,0,0,0,95.33,66.6637,92.575,58.4761,0
"Uttar Pradesh",Hardoi,PMGSY-III,67,0,65,0,2,0,480.658,350.96026,474.498,311.0216,0.68
"Uttar Pradesh",Hathras,PMGSY-I,189,0,189,0,0,0,440.1,105.9981,429.017,98.7266,0
"Uttar Pradesh",J.B.F.Nagar,PMGSY-II,15,0,15,0,0,0,106.62,52.59766,95.061,41.7657,0
"Uttar Pradesh",Jalaun,PMGSY-I,178,0,178,0,0,0,548.53,139.047,533.757,134.3715,0
"Uttar Pradesh",Jhansi,PMGSY-III,30,0,26,0,4,0,231.45,188.97608,210.706,115.8511,14.6
"Uttar Pradesh",Kannauj,PMGSY-II,14,0,14,0,0,0,107.955,80.04009,107.85,74.0124,0
"Uttar Pradesh","Kanpur Dehat",PMGSY-III,33,0,23,0,10,0,238.679,199.11752,167.607,101.6784,61.705
"Uttar Pradesh","Kanpur Nagar",PMGSY-II,11,0,11,0,0,0,103.22,85.5865,103.22,77.4466,0
"Uttar Pradesh",Kasganj,PMGSY-I,114,0,114,0,0,0,368.925,116.5174,364.388,111.4347,0
"Uttar Pradesh",Kasganj,PMGSY-II,14,0,14,0,0,0,109.075,60.18487,108.975,51.3523,0
"Uttar Pradesh",Kaushambi,PMGSY-I,119,0,119,0,0,0,377.975,108.3417,374.955,103.5433,0
"Uttar Pradesh",Kushinagar,PMGSY-II,14,0,14,0,0,0,98.875,67.3317,98.255,54.6509,0
"Uttar Pradesh",Kushinagar,PMGSY-III,63,0,61,0,2,0,420.655,338.88378,403.287,270.5823,14.7
"Uttar Pradesh",Lakhimpur-Kherii,PMGSY-I,342,0,342,0,0,0,941.685,281.3176,914.702,257.8866,0
"Uttar Pradesh",Mainpuri,PMGSY-III,11,0,11,0,0,0,77.3,42.6268,76.438,31.625,0
"Uttar Pradesh",Mathura,PMGSY-III,34,3,25,3,9,0,305.531,236.21237,273.762,170.6255,27.848
"Uttar Pradesh",Meerut,PMGSY-I,289,0,289,0,0,0,660.754,147.5156,649.583,141.2229,0
"Uttar Pradesh",Mirzapur,PMGSY-III,23,0,22,0,1,0,187.965,120.91011,175.635,89.3392,6.895
"Uttar Pradesh",Moradabad,PMGSY-I,223,0,223,0,0,0,598.5,161.7229,582.117,157.3699,0
"Uttar Pradesh",Pratapgarh,PMGSY-I,382,0,382,0,0,0,1114.335,230.3692,1082.53,207.0207,0
"Uttar Pradesh",Pratapgarh,PMGSY-II,15,0,15,0,0,0,95.1,58.1514,95,55.196,0
"Uttar Pradesh",Prayagraj,PMGSY-II,16,0,16,0,0,0,116.4,87.32012,116.38,76.9368,0
"Uttar Pradesh",Prayagraj,PMGSY-III,66,0,52,0,14,0,478.542,436.48762,392.576,307.4401,80.665
"Uttar Pradesh","S.R. Nagar(Bhadohi)",PMGSY-I,155,0,155,0,0,0,361.535,93.3095,352.84,82.2786,0
"Uttar Pradesh",Sambhal,PMGSY-II,13,0,13,0,0,0,101.402,52.93763,101.089,46.0753,0
"Uttar Pradesh",Sambhal,PMGSY-III,25,0,25,0,0,0,184.095,130.1319,179.685,101.3398,0
"Uttar Pradesh",Shamli,PMGSY-III,17,0,17,0,0,0,149.55,100.38982,149.138,90.339,0
"Uttar Pradesh",Sultanpur,PMGSY-I,296,0,296,0,0,0,912.88,284.1045,899.854,279.0367,0
"Uttar Pradesh",Unnao,PMGSY-III,73,0,70,0,3,0,557.875,485.47716,532.044,411.753,14.6
Uttarakhand,Almora,PMGSY-III,20,0,0,0,20,0,238.672,169.98509,101.5,29.1702,137.172
Uttarakhand,Bageshwar,PMGSY-II,9,0,9,0,0,0,52.125,31.849,52.125,30.9384,0
Uttarakhand,Dehradun,PMGSY-I,131,4,128,4,3,0,1223.048,525.4957,1202.193,530.8563,14.85
Uttarakhand,Haridwar,PMGSY-II,5,0,5,0,0,0,31.637,11.6719,31.637,11.4485,0
Uttarakhand,Nainital,PMGSY-III,9,0,2,0,7,0,96.283,75.4575,32.522,22.3391,63.757
Uttarakhand,Rudraprayag,PMGSY-II,7,2,7,2,0,0,44.915,36.24517,43.2,37.4478,0
Uttarakhand,Tehri,PMGSY-III,18,0,6,0,12,0,164.127,140.24796,114.526,83.4062,49.6
Uttarakhand,"Udham Singh Nagar",PMGSY-I,34,0,34,0,0,0,87.36,27.5101,87.01,28.6638,0
Uttarakhand,"Udham Singh Nagar",PMGSY-III,5,0,0,0,5,0,24.589,18.835,0,0,24.589
"West Bengal",Cooch-Behar,PMGSY-I,379,4,379,4,0,0,1251.68,495.71501,1248.466,458.8132,0
"West Bengal",Jalpaiguri,PMGSY-I,154,2,154,2,0,0,945.253,392.79428,928.005,348.2809,0
"West Bengal",Jhargram,PMGSY-II,5,0,5,0,0,0,68.099,59.2613,68.099,46.319,0
"West Bengal",Jhargram,PMGSY-III,9,0,1,0,8,0,103.375,100.6439,8.169,6.0578,95.206
"West Bengal",Murshidabad,PMGSY-I,410,4,410,4,0,0,2053.367,922.56231,2032.725,841.8226,0
"West Bengal",Nadia,PMGSY-III,24,1,9,0,15,1,138.848,106.38457,65.027,34.7426,74.008
"West Bengal","Paschim Burdwan",PMGSY-II,4,0,4,0,0,0,36.12,22.78042,35.679,17.8088,0
"West Bengal","Purba Burdwan",PMGSY-II,9,0,9,0,0,0,119.24,98.5914,119.655,89.0774,0
"West Bengal","Purba Burdwan",PMGSY-III,27,1,3,0,24,1,262.32,224.35171,20.98,12.1085,241.34
"West Bengal","Purba Medinipur",PMGSY-I,202,4,202,4,0,0,1304.068,658.48287,1290.698,609.6855,0
"West Bengal","South 24-Parganas",PMGSY-III,47,0,5,0,42,0,320.352,226.43533,32.273,20.3742,288.079
